Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Башполченко,Веніямин,Ігнатович,male,1986-08-18,Математик,село Святогірськ,"шосе Павла Шклярука, буд. 20, Сміла, 04571",547-82-14,alinasirchenko@example.com
Гупало,Віолетта,Орхипівна,female,1955-03-12,Паблік рилейшнз,село Кам'янка-Бузька,"узвіз Нахімова, буд. 171 кв. 709, Бердянськ, 09730",015-83-35,ktovstukha@example.com
Матвієнко,Альберт,Костянтинович,male,1986-09-12,Гінеколог,село Олександрівськ,"площа Далекосхідна, буд. 068 кв. 364, Шепетівка, 21676",038 005-08-97,rozaliiabezditko@example.org
Їжак,Альбіна,Устимівна,female,1973-07-15,Електрик,селище Бершадь,"шосе Нафтовиків 1-й, буд. 368, Вознесенськ, 20265",+380 86 411-51-21,borys65@example.com
Карпенко,Світлана,Орхипівна,female,1956-03-15,Круп'є,село Рава-Руська,"набережна Приморська, буд. 02 кв. 757, Покровськ, 75811",649 58 85,vira05@example.net
Шиян,Олекса,Азарович,male,1952-02-15,Бібліотекар,місто Сокаль,"вулиця Пісочна, буд. 6 кв. 98, Вільнянськ, 64955",+380 (24) 116-94-14,perepelytsiaemiliia@example.net
Ющенко,Аліна,Теодорівна,female,1979-09-04,Головний меркшейдер,хутір Черкаси,"провулок Академічний, буд. 992, Красноград, 37923",+380 67 652-08-81,kpustovit@example.com
Дубина,Пилип,Михайлович,male,1966-09-24,Водій,селище Трускавець,"сквер Вершинна, буд. 6, Гнівань, 36804",423 69 78,nosenkoviktoriia@example.net
Батіг,Веніямин,Євгенійович,male,1993-03-12,Програміст,село Золотоноша,"узвіз Селищний, буд. 2 кв. 02, Великі Мости, 81714",252-74-01,bfilipenko@example.org
Удовиченко,Олекса,Микитович,male,1955-08-06,Актор,селище Дубно,"шосе 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 00 кв. 07, Скалат, 50797",093 338-41-18,tovstolisiosyp@example.com
Їжак,Роксолана,Ростиславівна,female,1996-11-18,Кушнір,село Кропивницький,"сквер Лінія 55-та, буд. 819, Оріхів, 74984",680 16 57,kkashchenko@example.org
Деряжна,Софія,Амвросійовна,female,2008-05-03,Професор,селище Чорнобиль,"сквер Басейний 1-й, буд. 2, Лутугине, 07488",895-48-90,marynamishchenko@example.com
Салій,Данна,Лесівна,female,2000-12-22,Державний службовець,місто Сокаль,"площа Парусна, буд. 47 кв. 526, Костопіль, 66926",484 73 41,matviienkoiakiv@example.org
Коваленко,Вʼячеслав,Романович,male,1943-02-22,Золотар,хутір Гайсин,"проспект Крайня, буд. 1 кв. 35, Слов'янськ, 55360",082 139 48 94,kadeniuksofiia@example.org
Слюсар,Лілія,Антонівна,female,1992-09-30,Стиліст,хутір Снігурівка,"узвіз Тургенєва, буд. 341 кв. 63, Хуст, 59468",184 20 61,qshapoval@example.com
Рубець,Оксана,Давидівна,female,1995-09-14,Епідеміолог,місто Привілля,"шосе Іванівська, буд. 4, Гадяч, 50902",560 49 07,lhuk@example.com
Прокопович,Орхип,Тарасович,male,1996-01-25,Актор,селище Немирів,"сквер Березовий, буд. 428 кв. 9, Ватутіне, 53088",036 370 88 05,solomiia00@example.org
Негода,Оксана,Ааронівна,female,1975-03-27,Бізнесмен,місто Болград,"площа Чорноморський 2-й, буд. 9 кв. 32, Генічеськ, 81997",922 74 50,drozdoleh@example.com
Верховинець,Ліза,Ігорівна,female,1954-05-10,Драматург,селище Старий Крим,"сквер Лядова, буд. 1 кв. 28, Вільнянськ, 35776",+380 06 114 14 83,vitrukdemian@example.net
Лукаш,Марія,Леопольдівна,female,1943-01-12,Слідчий,село Жданівка,"сквер Обсерваторний, буд. 4, Докучаєвськ, 80523",+380 19 999-01-27,skybavalentyna@example.org
Захарченко,Лілія,Лесівна,female,1949-02-28,Євнух,хутір Великі Мости,"проспект Крижанівський, буд. 17, Пирятин, 80546",+380 93 763-86-87,mariia47@example.org
Шеремета,Валентина,Климентівна,female,2008-06-10,Адвокат,селище Дубляни,"вулиця Рішельєвська, буд. 09, Кам'янка-Бузька, 65377",030 129-99-83,protsenkovarfolomii@example.org
Супруненко,Гаврило,Микитович,male,1996-01-12,Євнух,хутір Хрестівка,"провулок Керченська, буд. 6 кв. 74, Вознесенівка, 66669",609-84-78,bbarannyk@example.org
Дацюк,Ольга,Богданівна,female,1988-11-13,Графік,місто Новоселиця,"шосе Старобазарний, буд. 7, Скадовськ, 20165",+380 (03) 940-85-65,roman72@example.org
Харченко,Святослава,Феофанівна,female,2005-11-18,Антрополог,хутір Охтирка,"парк Шовкуненка, буд. 85 кв. 65, Бахмут, 88575",002 628-76-08,havrylenkomariana@example.com
Алексюк,Варвара,Альбертівна,female,1956-09-02,Машиніст,селище Тернівка ,"вулиця Короткий, буд. 29, Радехів, 10957",+380 (84) 038-41-99,amaliiailienko@example.org
Притула,Орхип,Валентинович,male,2000-10-22,Лікар,хутір Турка,"парк Гагаріна, буд. 70, Миколаївка , 49227",+380 (42) 440-90-44,serhiikolodub@example.com
Сиротенко,Наталія,Омелянівна,female,1986-11-08,Перекладач,хутір Хирів,"вулиця Магнітогорський 3-й, буд. 56, Хмельницький, 68840",027 666 77 35,kyrylovelychko@example.org
Дашкевич,Данна,Альбертівна,female,1945-02-11,Композитор,хутір Монастириська,"провулок Іспанська, буд. 90, Роздільна, 87130",+380 71 715-27-30,ostapumanets@example.org
Матяш,Світлана,Миронівна,female,1949-07-11,Хореограф,місто Умань,"провулок Черкаська, буд. 51, Березне, 61365",+380 48 830 55 65,onysymazhazha@example.com
Дацюк,Борис,Федорович,male,1970-09-30,Епідеміолог,хутір Нове Давидково,"парк Об'їзна дорога, буд. 363 кв. 71, Нікополь, 17457",+380 06 925-66-03,heorhii41@example.org
Забара,Ярослава,Олегівна,female,1997-12-13,Складальник,хутір Гайсин,"сквер Мукачівський, буд. 5 кв. 90, Бобровиця, 50591",+380 32 180-32-49,odatsiuk@example.org
Власенко,Сніжана,Мартинівна,female,1977-12-11,Музикознавець,місто Дергачі,"шосе Асташкіна, буд. 188 кв. 959, Баштанка, 98804",507-90-18,iaremkosolomon@example.net
Влох,Орина,Бориславівна,female,1957-01-28,Ветеринар,місто Гуляйполе,"сквер ім. С.Ю. Вітте, буд. 61 кв. 89, Мерефа, 54780",076 819-51-94,shcherbanandrii@example.org
Башполченко,Гліб,Вадимович,male,1997-01-17,Фармацевт,хутір Сулимівка (Слов'янськ),"парк Докова, буд. 233 кв. 38, Сновськ, 48334",+380 25 742 26 68,olesrudko@example.net
Тичина,Аліна,Климентівна,female,1940-11-10,Менеджер,місто Генічеськ,"набережна Проектований 3-й, буд. 203 кв. 5, Куп'янськ, 51263",732 74 99,khuk@example.org
Щорс,Борислав,Яковович,male,1959-02-21,Філолог,селище Гола Пристань,"проспект Оборони Ленінграду, буд. 90 кв. 78, Вашківці, 40422",013 184-15-99,ielysaveta73@example.net
Орлик,Остап,Альбертович,male,1952-02-03,Медик,селище П'ятихатки,"площа Суворовська, буд. 98 кв. 793, Овруч, 32566",014 830-78-94,leontii40@example.org
Романенко,Йосип,Геннадійович,male,1987-05-02,Мірошник,місто Олешки,"парк Бессарабська, буд. 88, Перемишляни, 46276",+380 77 085-40-81,karmaliukoleksandr@example.org
Дацюк,Альберт,Станіславович,male,1959-07-07,Адвокат,хутір Красногорівка,"шосе Овідіопольський, буд. 51, Новий Буг, 92434",+380 83 224-78-41,solomon10@example.com
